# == Iter    0 ==
Timepoint   	K_ECF       	K_ICF       	K_urin      	K_git       	K_tiss      	K_sal       	K_feed      	***         	***         	***         	Insulin     	s20         	s23         	s27         	***         	s29         	***         	***         	***         	***         	***         	s35         
6.536761e+00	6.083455e+00	2.417759e+01	1.858916e+00	3.489833e+00	1.508891e+03	4.870691e-01	1.967462e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.082839e+01	2.677538e+02	5.728725e+00	2.551583e+01	0.000000e+00	3.543299e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-1.271651e+02
6.586611e+00	6.088465e+00	2.414162e+01	1.958427e+00	3.542511e+00	1.508898e+03	4.892410e-01	2.025822e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.078270e+01	2.727846e+02	5.758695e+00	2.525162e+01	0.000000e+00	3.534457e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-1.321959e+02
6.640062e+00	6.092938e+00	2.410271e+01	2.067371e+00	3.601121e+00	1.508906e+03	4.914932e-01	2.088502e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.073496e+01	2.782323e+02	5.788912e+00	2.500587e+01	0.000000e+00	3.525287e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-1.376436e+02
6.699722e+00	6.096913e+00	2.405888e+01	2.191692e+00	3.669093e+00	1.508915e+03	4.939134e-01	2.158624e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.068333e+01	2.843771e+02	5.820441e+00	2.477535e+01	0.000000e+00	3.515449e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-1.437884e+02
6.777990e+00	6.100633e+00	2.400082e+01	2.359107e+00	3.762271e+00	1.508928e+03	4.969395e-01	2.250932e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.061843e+01	2.925389e+02	5.858546e+00	2.453917e+01	0.000000e+00	3.503203e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-1.519502e+02
6.867581e+00	6.102998e+00	2.393367e+01	2.556688e+00	3.874385e+00	1.508943e+03	5.001974e-01	2.357116e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.054838e+01	3.020171e+02	5.898016e+00	2.435521e+01	0.000000e+00	3.490142e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-1.614284e+02
6.967440e+00	6.103498e+00	2.385813e+01	2.784295e+00	4.006042e+00	1.508960e+03	5.035737e-01	2.476232e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.047592e+01	3.127462e+02	5.937317e+00	2.425083e+01	0.000000e+00	3.476819e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-1.721575e+02
7.100298e+00	6.101092e+00	2.375680e+01	3.098989e+00	4.191843e+00	1.508982e+03	5.076594e-01	2.636144e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.038914e+01	3.272777e+02	5.982859e+00	2.426201e+01	0.000000e+00	3.461151e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-1.866890e+02
7.218032e+00	6.096417e+00	2.366654e+01	3.388985e+00	4.366357e+00	1.509001e+03	5.109051e-01	2.779372e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.032164e+01	3.403869e+02	6.017613e+00	2.440160e+01	0.000000e+00	3.449239e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-1.997982e+02
7.347816e+00	6.088902e+00	2.356689e+01	3.720549e+00	4.569173e+00	1.509021e+03	5.140922e-01	2.939061e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.025758e+01	3.550751e+02	6.050681e+00	2.468233e+01	0.000000e+00	3.438237e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-2.144864e+02
7.492445e+00	6.078077e+00	2.345608e+01	4.104446e+00	4.807741e+00	1.509042e+03	5.171854e-01	3.119373e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.019886e+01	3.717162e+02	6.081986e+00	2.513569e+01	0.000000e+00	3.428551e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-2.311275e+02
7.630353e+00	6.065773e+00	2.335106e+01	4.484391e+00	5.047225e+00	1.509060e+03	5.197112e-01	3.293715e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.015506e+01	3.878309e+02	6.107216e+00	2.569106e+01	0.000000e+00	3.421761e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-2.472422e+02
7.770873e+00	6.051633e+00	2.324509e+01	4.885241e+00	5.302984e+00	1.509077e+03	5.218879e-01	3.473826e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.012226e+01	4.044762e+02	6.129002e+00	2.636692e+01	0.000000e+00	3.417193e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-2.638875e+02
7.925944e+00	6.034547e+00	2.312976e+01	5.343443e+00	5.598649e+00	1.509093e+03	5.238594e-01	3.675495e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.009933e+01	4.230829e+02	6.149176e+00	2.722717e+01	0.000000e+00	3.414768e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-2.824942e+02
8.074919e+00	6.017013e+00	2.302097e+01	5.799104e+00	5.895623e+00	1.509105e+03	5.253628e-01	3.872074e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.008973e+01	4.411651e+02	6.165353e+00	2.815369e+01	0.000000e+00	3.414871e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-3.005764e+02
8.227278e+00	5.998247e+00	2.291209e+01	6.280675e+00	6.212131e+00	1.509115e+03	5.265396e-01	4.075925e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.009174e+01	4.598391e+02	6.179188e+00	2.919073e+01	0.000000e+00	3.417278e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-3.192504e+02
8.590665e+00	5.951481e+00	2.266402e+01	7.492374e+00	7.017342e+00	1.509125e+03	5.280742e-01	4.572848e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.014019e+01	5.049412e+02	6.203648e+00	3.196854e+01	0.000000e+00	3.431452e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-3.643525e+02
8.916394e+00	5.908707e+00	2.245800e+01	8.654117e+00	7.796511e+00	1.509117e+03	5.282029e-01	5.029589e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.022889e+01	5.457760e+02	6.218206e+00	3.474574e+01	0.000000e+00	3.452838e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-4.051873e+02
