Timepoint   	           1	           2	 00001/00001	 00002/00001	 00001/00002	 00002/00002	 00001/00003	 00002/00003
1.020000e+02	1.580813e+00	3.973674e+00	5.749395e-01	4.649317e+00	-3.196368e+01	-7.809452e+01	-1.337858e+00	-1.140738e+01
1.035000e+02	1.529159e+00	3.841756e+00	5.861086e-01	4.568541e+00	-3.151679e+01	-7.704944e+01	-1.367808e+00	-1.121505e+01
1.050000e+02	1.479106e+00	3.715494e+00	5.938425e-01	4.490014e+00	-3.106645e+01	-7.598605e+01	-1.393586e+00	-1.102355e+01
1.065000e+02	1.429250e+00	3.592525e+00	6.021089e-01	4.409992e+00	-3.060946e+01	-7.490896e+01	-1.416218e+00	-1.083231e+01
1.080000e+02	1.381446e+00	3.472556e+00	6.089811e-01	4.330445e+00	-3.014871e+01	-7.381745e+01	-1.436609e+00	-1.064073e+01
1.095000e+02	1.336104e+00	3.357239e+00	6.142610e-01	4.251743e+00	-2.968393e+01	-7.271608e+01	-1.453719e+00	-1.045017e+01
1.110000e+02	1.291620e+00	3.246086e+00	6.187385e-01	4.173274e+00	-2.921684e+01	-7.160585e+01	-1.467887e+00	-1.026069e+01
1.125000e+02	1.248076e+00	3.137788e+00	6.210860e-01	4.096405e+00	-2.874790e+01	-7.048777e+01	-1.480277e+00	-1.007145e+01
1.140000e+02	1.206561e+00	3.032890e+00	6.256455e-01	4.017135e+00	-2.827670e+01	-6.936470e+01	-1.489624e+00	-9.883895e+00
1.155000e+02	1.166604e+00	2.931996e+00	6.276616e-01	3.939871e+00	-2.780537e+01	-6.823756e+01	-1.496716e+00	-9.697597e+00
1.170000e+02	1.127444e+00	2.834314e+00	6.280315e-01	3.864161e+00	-2.733380e+01	-6.710812e+01	-1.499386e+00	-9.514894e+00
1.185000e+02	1.089577e+00	2.739420e+00	6.281664e-01	3.788513e+00	-2.686199e+01	-6.597790e+01	-1.506060e+00	-9.328350e+00
1.200000e+02	1.053340e+00	2.647831e+00	6.277578e-01	3.713657e+00	-2.639188e+01	-6.484710e+01	-1.506248e+00	-9.146967e+00
1.215000e+02	1.018183e+00	2.559510e+00	6.270656e-01	3.639128e+00	-2.592294e+01	-6.371830e+01	-1.505542e+00	-8.966908e+00
1.230000e+02	9.839402e-01	2.473890e+00	6.253947e-01	3.565619e+00	-2.545538e+01	-6.259225e+01	-1.503801e+00	-8.788083e+00
1.245000e+02	9.509930e-01	2.390977e+00	6.227183e-01	3.493356e+00	-2.499116e+01	-6.147005e+01	-1.500334e+00	-8.611318e+00
1.260000e+02	9.192760e-01	2.311004e+00	6.198362e-01	3.421713e+00	-2.452747e+01	-6.035251e+01	-1.495259e+00	-8.436627e+00
1.275000e+02	8.884530e-01	2.233717e+00	6.163639e-01	3.351033e+00	-2.406783e+01	-5.924066e+01	-1.488928e+00	-8.263883e+00
1.290000e+02	8.586013e-01	2.158842e+00	6.127002e-01	3.280921e+00	-2.361112e+01	-5.813547e+01	-1.481200e+00	-8.093411e+00
1.305000e+02	8.298776e-01	2.086476e+00	6.085386e-01	3.211798e+00	-2.315791e+01	-5.703767e+01	-1.472381e+00	-7.925003e+00
1.320000e+02	8.021114e-01	2.016627e+00	6.038911e-01	3.143695e+00	-2.270868e+01	-5.594797e+01	-1.462459e+00	-7.758829e+00
1.335000e+02	7.751721e-01	1.949058e+00	5.987678e-01	3.076681e+00	-2.226346e+01	-5.486710e+01	-1.451727e+00	-7.594679e+00
1.350000e+02	7.491611e-01	1.883675e+00	5.933417e-01	3.010577e+00	-2.182246e+01	-5.379566e+01	-1.440101e+00	-7.432782e+00
1.365000e+02	7.240831e-01	1.820528e+00	5.878092e-01	2.945235e+00	-2.138577e+01	-5.273446e+01	-1.427358e+00	-7.273471e+00
1.380000e+02	6.998027e-01	1.759522e+00	5.817732e-01	2.881064e+00	-2.095395e+01	-5.168374e+01	-1.414045e+00	-7.116324e+00
1.395000e+02	6.762987e-01	1.700504e+00	5.754719e-01	2.817948e+00	-2.052725e+01	-5.064376e+01	-1.400080e+00	-6.961415e+00
1.410000e+02	6.536209e-01	1.643449e+00	5.691096e-01	2.755720e+00	-2.010527e+01	-4.961547e+01	-1.385297e+00	-6.808981e+00
1.425000e+02	6.317161e-01	1.588342e+00	5.623695e-01	2.694485e+00	-1.968838e+01	-4.859929e+01	-1.370058e+00	-6.658980e+00
1.440000e+02	6.105109e-01	1.535073e+00	5.555423e-01	2.634263e+00	-1.927682e+01	-4.759533e+01	-1.354187e+00	-6.511362e+00
