Timepoint   	LH_pit      	LH_blood    	R_LH        	LH_R        	R_LH_des    	FSH_pit     	FSH_blood   	R_FSH       	FSH_R       	R_FSH_des   	S_foll      	AF1         	AF2         	AF3         	AF4         	PrF         	OvF         	Sc1         	Sc2         	Lut1        	Lut2        	Lut3        	Lut4        	E2          	P4          	InhA        	InhB        	InhA_tau    	GnRH_G      	R_GnRH_a    	R_GnRH_i    	GnRH_R_a    	GnRH_R_i    
-4.214281e+01	2.607098e+05	2.766173e+00	8.383146e+00	2.709359e-01	7.199184e-01	6.008143e+04	5.424426e+00	5.854687e+00	8.100803e-01	1.834232e+00	1.629163e-01	2.596549e+00	2.404733e+01	5.098810e-01	1.766599e-05	2.449298e-01	1.288144e-18	6.465352e-09	1.423387e-06	1.486169e-05	2.339194e-04	2.476818e-03	9.599583e-03	3.905879e+01	1.728580e+00	8.753598e-01	6.288165e+01	6.759387e+01	1.710933e-02	8.981407e-03	9.639955e-04	7.345628e-05	6.617075e-05
-4.210080e+01	2.608340e+05	2.773936e+00	8.380698e+00	2.716128e-01	7.216893e-01	6.010500e+04	5.441223e+00	5.849056e+00	8.118066e-01	1.838138e+00	1.639403e-01	2.596794e+00	2.415520e+01	5.120546e-01	1.789318e-05	2.449337e-01	1.319915e-18	6.142046e-09	1.367551e-06	1.435020e-05	2.271571e-04	2.421374e-03	9.445082e-03	3.883378e+01	1.703096e+00	8.685886e-01	6.316140e+01	6.718748e+01	1.734013e-02	8.979024e-03	9.646347e-04	7.442781e-05	6.705170e-05
-4.207139e+01	2.609214e+05	2.779595e+00	8.378914e+00	2.721062e-01	7.229801e-01	6.011951e+04	5.453044e+00	5.845100e+00	8.130193e-01	1.840881e+00	1.646880e-01	2.596945e+00	2.423083e+01	5.135852e-01	1.805868e-05	2.449364e-01	1.341730e-18	5.925430e-09	1.329777e-06	1.400255e-05	2.225390e-04	2.383280e-03	9.338193e-03	3.868011e+01	1.685575e+00	8.638620e-01	6.335756e+01	6.690434e+01	1.750213e-02	8.977350e-03	9.650834e-04	7.510945e-05	6.766997e-05
-4.205179e+01	2.609800e+05	2.783474e+00	8.377691e+00	2.724442e-01	7.238646e-01	6.012829e+04	5.460953e+00	5.842455e+00	8.138299e-01	1.842715e+00	1.652012e-01	2.597036e+00	2.428131e+01	5.146099e-01	1.817211e-05	2.449383e-01	1.356313e-18	5.785294e-09	1.305177e-06	1.377542e-05	2.195119e-04	2.358207e-03	9.267507e-03	3.857933e+01	1.674030e+00	8.607200e-01	6.348850e+01	6.671619e+01	1.761032e-02	8.976231e-03	9.653829e-04	7.556449e-05	6.808279e-05
-4.203366e+01	2.610343e+05	2.787139e+00	8.376536e+00	2.727635e-01	7.247003e-01	6.013579e+04	5.468292e+00	5.840004e+00	8.145814e-01	1.844414e+00	1.656868e-01	2.597113e+00	2.432806e+01	5.155608e-01	1.827932e-05	2.449400e-01	1.369928e-18	5.658611e-09	1.282825e-06	1.356855e-05	2.167478e-04	2.335238e-03	9.202520e-03	3.848724e+01	1.663443e+00	8.578211e-01	6.360973e+01	6.654256e+01	1.771053e-02	8.975195e-03	9.656603e-04	7.598586e-05	6.846513e-05
-4.201712e+01	2.610840e+05	2.790548e+00	8.375462e+00	2.730604e-01	7.254774e-01	6.014210e+04	5.475005e+00	5.837764e+00	8.152681e-01	1.845968e+00	1.661390e-01	2.597178e+00	2.437073e+01	5.164308e-01	1.837908e-05	2.449416e-01	1.382499e-18	5.545482e-09	1.262771e-06	1.338252e-05	2.142564e-04	2.314476e-03	9.143580e-03	3.840417e+01	1.653861e+00	8.551842e-01	6.372042e+01	6.638453e+01	1.780202e-02	8.974248e-03	9.659136e-04	7.637053e-05	6.881420e-05
-4.200194e+01	2.611298e+05	2.793733e+00	8.374459e+00	2.733378e-01	7.262033e-01	6.014746e+04	5.481181e+00	5.835704e+00	8.158996e-01	1.847396e+00	1.665620e-01	2.597233e+00	2.440993e+01	5.172316e-01	1.847232e-05	2.449431e-01	1.394201e-18	5.443643e-09	1.244641e-06	1.321399e-05	2.119946e-04	2.295576e-03	9.089765e-03	3.832868e+01	1.645128e+00	8.527707e-01	6.382209e+01	6.623978e+01	1.788608e-02	8.973378e-03	9.661463e-04	7.672384e-05	6.913485e-05
-4.198774e+01	2.611727e+05	2.796760e+00	8.373506e+00	2.736013e-01	7.268931e-01	6.015210e+04	5.486970e+00	5.833775e+00	8.164910e-01	1.848734e+00	1.669645e-01	2.597280e+00	2.444661e+01	5.179822e-01	1.856100e-05	2.449445e-01	1.405306e-18	5.350110e-09	1.227924e-06	1.305830e-05	2.099010e-04	2.278038e-03	9.039687e-03	3.825873e+01	1.637014e+00	8.505202e-01	6.391723e+01	6.610469e+01	1.796474e-02	8.972564e-03	9.663640e-04	7.705441e-05	6.943489e-05
-4.197420e+01	2.612137e+05	2.799693e+00	8.372582e+00	2.738566e-01	7.275614e-01	6.015619e+04	5.492507e+00	5.831931e+00	8.170563e-01	1.850012e+00	1.673551e-01	2.597322e+00	2.448164e+01	5.187002e-01	1.864700e-05	2.449458e-01	1.416068e-18	5.262366e-09	1.212182e-06	1.291144e-05	2.079223e-04	2.261425e-03	8.992124e-03	3.819257e+01	1.629318e+00	8.483789e-01	6.400807e+01	6.597602e+01	1.803985e-02	8.971786e-03	9.665718e-04	7.736998e-05	6.972135e-05
-4.196108e+01	2.612535e+05	2.802576e+00	8.371674e+00	2.741075e-01	7.282182e-01	6.015984e+04	5.497881e+00	5.830142e+00	8.176047e-01	1.851253e+00	1.677395e-01	2.597359e+00	2.451559e+01	5.193974e-01	1.873160e-05	2.449471e-01	1.426662e-18	5.178738e-09	1.197125e-06	1.277072e-05	2.060231e-04	2.245442e-03	8.946250e-03	3.812899e+01	1.621904e+00	8.463104e-01	6.409613e+01	6.585159e+01	1.811265e-02	8.971032e-03	9.667732e-04	7.767583e-05	6.999900e-05
-4.194825e+01	2.612926e+05	2.805435e+00	8.370774e+00	2.743562e-01	7.288696e-01	6.016312e+04	5.503148e+00	5.828391e+00	8.181417e-01	1.852468e+00	1.681213e-01	2.597392e+00	2.454881e+01	5.200806e-01	1.881560e-05	2.449484e-01	1.437191e-18	5.098255e-09	1.182583e-06	1.263459e-05	2.041825e-04	2.229920e-03	8.901589e-03	3.806731e+01	1.614694e+00	8.442937e-01	6.418229e+01	6.573013e+01	1.818388e-02	8.970294e-03	9.669703e-04	7.797500e-05	7.027062e-05
-4.193566e+01	2.613310e+05	2.808281e+00	8.369878e+00	2.746039e-01	7.295179e-01	6.016605e+04	5.508329e+00	5.826668e+00	8.186698e-01	1.853662e+00	1.685019e-01	2.597421e+00	2.458144e+01	5.207529e-01	1.889929e-05	2.449497e-01	1.447703e-18	5.020465e-09	1.168480e-06	1.250234e-05	2.023915e-04	2.214783e-03	8.857931e-03	3.800723e+01	1.607653e+00	8.423199e-01	6.426693e+01	6.561109e+01	1.825384e-02	8.969569e-03	9.671638e-04	7.826880e-05	7.053738e-05
-4.192332e+01	2.613686e+05	2.811107e+00	8.368989e+00	2.748496e-01	7.301614e-01	6.016866e+04	5.513414e+00	5.824979e+00	8.191876e-01	1.854833e+00	1.688802e-01	2.597446e+00	2.461342e+01	5.214127e-01	1.898246e-05	2.449509e-01	1.458174e-18	4.945431e-09	1.154830e-06	1.237415e-05	2.006524e-04	2.200054e-03	8.815350e-03	3.794883e+01	1.600792e+00	8.403925e-01	6.434987e+01	6.549469e+01	1.832239e-02	8.968858e-03	9.673534e-04	7.855663e-05	7.079874e-05
-4.191125e+01	2.614056e+05	2.813911e+00	8.368107e+00	2.750934e-01	7.307999e-01	6.017096e+04	5.518403e+00	5.823323e+00	8.196955e-01	1.855982e+00	1.692562e-01	2.597469e+00	2.464475e+01	5.220603e-01	1.906510e-05	2.449522e-01	1.468607e-18	4.873038e-09	1.141617e-06	1.224986e-05	1.989635e-04	2.185722e-03	8.773819e-03	3.789205e+01	1.594106e+00	8.385107e-01	6.443114e+01	6.538088e+01	1.838955e-02	8.968162e-03	9.675391e-04	7.883858e-05	7.105479e-05
-4.189941e+01	2.614419e+05	2.816696e+00	8.367230e+00	2.753356e-01	7.314340e-01	6.017297e+04	5.523305e+00	5.821696e+00	8.201942e-01	1.857110e+00	1.696302e-01	2.597488e+00	2.467550e+01	5.226966e-01	1.914728e-05	2.449534e-01	1.479014e-18	4.803091e-09	1.128810e-06	1.212920e-05	1.973213e-04	2.171757e-03	8.733263e-03	3.783677e+01	1.587582e+00	8.366714e-01	6.451088e+01	6.526946e+01	1.845542e-02	8.967479e-03	9.677213e-04	7.911509e-05	7.130590e-05
-4.188778e+01	2.614777e+05	2.819466e+00	8.366359e+00	2.755763e-01	7.320645e-01	6.017471e+04	5.528128e+00	5.820097e+00	8.206847e-01	1.858219e+00	1.700027e-01	2.597504e+00	2.470570e+01	5.233228e-01	1.922912e-05	2.449546e-01	1.489411e-18	4.735375e-09	1.116372e-06	1.201185e-05	1.957216e-04	2.158126e-03	8.693590e-03	3.778287e+01	1.581204e+00	8.348706e-01	6.458923e+01	6.516022e+01	1.852014e-02	8.966808e-03	9.679002e-04	7.938670e-05	7.155259e-05
-4.187634e+01	2.615129e+05	2.822225e+00	8.365491e+00	2.758161e-01	7.326925e-01	6.017620e+04	5.532883e+00	5.818521e+00	8.211678e-01	1.859312e+00	1.703743e-01	2.597517e+00	2.473544e+01	5.239402e-01	1.931074e-05	2.449558e-01	1.499819e-18	4.669689e-09	1.104269e-06	1.189749e-05	1.941602e-04	2.144797e-03	8.654710e-03	3.773019e+01	1.574958e+00	8.331046e-01	6.466635e+01	6.505290e+01	1.858383e-02	8.966147e-03	9.680763e-04	7.965397e-05	7.179534e-05
