Timepoint   	E2          	SD          	P4          	SD          	LH_blood    	SD          	FSH_blood   	SD          
0.000000e+00	9.399988e+01	1.000000e+00	5.799990e-01	1.000000e+00	3.499000e+01	1.000000e+00	6.820000e+00	1.000000e+00
0.000000e+00	1.650000e+02	1.000000e+00	1.280000e+00	1.000000e+00	3.483000e+01	1.000000e+00	7.370000e+00	1.000000e+00
0.000000e+00	3.339992e+02	1.000000e+00	9.699984e-01	1.000000e+00	4.180000e+01	1.000000e+00	9.320000e+00	1.000000e+00
0.000000e+00	1.709999e+02	1.000000e+00	1.100000e+00	1.000000e+00	6.090000e+01	1.000000e+00	1.334000e+01	1.000000e+00
0.000000e+00	2.010001e+02	1.000000e+00	7.899990e-01	1.000000e+00	3.916000e+01	1.000000e+00	9.700000e+00	1.000000e+00
0.000000e+00	3.009991e+02	1.000000e+00	7.999991e-01	1.000000e+00	6.804000e+01	1.000000e+00	1.311000e+01	1.000000e+00
0.000000e+00	1.849999e+02	1.000000e+00	1.800001e+00	1.000000e+00	4.536000e+01	1.000000e+00	6.900000e+00	1.000000e+00
0.000000e+00	9.899987e+01	1.000000e+00	6.800005e-01	1.000000e+00	2.517000e+01	1.000000e+00	5.280000e+00	1.000000e+00
1.000000e+00	7.899991e+01	1.000000e+00	1.879999e+00	1.000000e+00	1.145000e+01	1.000000e+00	7.430000e+00	1.000000e+00
1.000000e+00	1.000001e+02	1.000000e+00	1.189999e+00	1.000000e+00	2.273000e+01	1.000000e+00	5.700000e+00	1.000000e+00
1.000000e+00	2.540001e+02	1.000000e+00	1.370001e+00	1.000000e+00	1.630000e+01	1.000000e+00	6.900000e+00	1.000000e+00
1.000000e+00	5.600012e+01	1.000000e+00	1.600001e+00	1.000000e+00	1.682000e+01	1.000000e+00	9.820000e+00	1.000000e+00
1.000000e+00	6.399994e+01	1.000000e+00	1.730000e+00	1.000000e+00	1.906000e+01	1.000000e+00	8.850000e+00	1.000000e+00
1.000000e+00	6.100011e+01	1.000000e+00	1.629999e+00	1.000000e+00	2.006000e+01	1.000000e+00	9.740000e+00	1.000000e+00
