Timepoint   	P4          	SD          	E2          	SD          	LH_blood    	SD          	FSH_blood   	SD          
-1.300000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.300000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	8.270000e+00	1.000000e+00
-1.300000e+01	4.049996e-01	1.000000e+00	2.737519e+01	1.000000e+00	5.780000e+00	1.000000e+00	3.760000e+00	1.000000e+00
-1.300000e+01	2.470001e+00	1.000000e+00	4.407270e+01	1.000000e+00	7.430000e+00	1.000000e+00	n/a         	n/a         
-1.300000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.300000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	8.530000e+00	1.000000e+00
-1.300000e+01	2.800000e-01	1.000000e+00	2.587705e+01	1.000000e+00	5.980000e+00	1.000000e+00	n/a         	n/a         
-1.300000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	6.040000e+00	1.000000e+00
-1.300000e+01	1.199999e+00	1.000000e+00	4.903020e+01	1.000000e+00	6.740000e+00	1.000000e+00	n/a         	n/a         
-1.300000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.300000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	6.380000e+00	1.000000e+00
-1.300000e+01	6.500001e-01	1.000000e+00	5.829146e+01	1.000000e+00	5.940000e+00	1.000000e+00	n/a         	n/a         
-1.300000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.300000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.300000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	6.080000e+00	1.000000e+00
-1.300000e+01	1.120001e+00	1.000000e+00	4.766825e+01	1.000000e+00	6.630000e+00	1.000000e+00	n/a         	n/a         
