# == Iter    0 ==
Timepoint   	A           	B           	C           
2.553702e+00	5.933076e-03	1.453518e-01	8.487151e-01
2.799890e+00	3.674071e-03	1.161937e-01	8.801322e-01
3.067938e+00	2.195115e-03	9.074722e-02	9.070577e-01
3.362993e+00	1.257936e-03	6.897362e-02	9.297684e-01
3.692115e+00	6.868685e-04	5.075327e-02	9.485599e-01
4.065478e+00	3.547894e-04	3.590081e-02	9.637444e-01
4.498732e+00	1.720940e-04	2.417753e-02	9.756504e-01
4.939410e+00	8.730931e-05	1.637590e-02	9.835368e-01
5.000000e+00	7.992999e-05	1.554267e-02	9.843774e-01


# == Iter    9 ==
Timepoint   	A           	B           	C           
0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.000000e-04	9.997970e-01	2.030232e-04	1.007952e-08
1.010000e-02	9.797007e-01	2.019749e-02	1.017893e-04
8.378404e-02	8.435764e-01	1.499172e-01	6.506355e-03
1.885347e-01	6.820096e-01	2.882776e-01	2.971278e-02
3.030911e-01	5.405722e-01	3.906904e-01	6.873737e-02
4.273000e-01	4.202096e-01	4.583263e-01	1.214641e-01
5.625188e-01	3.194880e-01	4.947472e-01	1.857648e-01
7.099550e-01	2.370222e-01	5.038692e-01	2.591086e-01
8.660768e-01	1.728287e-01	4.908253e-01	3.363460e-01
1.027350e+00	1.247619e-01	4.625351e-01	4.127030e-01
1.192554e+00	8.939310e-02	4.251700e-01	4.854369e-01
1.362330e+00	6.350038e-02	3.830908e-01	5.534088e-01
1.537745e+00	4.463126e-02	3.392731e-01	6.160957e-01
1.720099e+00	3.096425e-02	2.957326e-01	6.733032e-01
1.910914e+00	2.114753e-02	2.538235e-01	7.250290e-01
2.111968e+00	1.417424e-02	2.144432e-01	7.713826e-01
2.325357e+00	9.291198e-03	1.781715e-01	8.125373e-01
2.553596e+00	5.932881e-03	1.453621e-01	8.487050e-01
2.799774e+00	3.673945e-03	1.162029e-01	8.801231e-01
3.067810e+00	2.195037e-03	9.075524e-02	9.070497e-01
3.362853e+00	1.257892e-03	6.898042e-02	9.297617e-01
3.691961e+00	6.868458e-04	5.075884e-02	9.485543e-01
4.065310e+00	3.547789e-04	3.590515e-02	9.637401e-01
4.498547e+00	1.720903e-04	2.418070e-02	9.756472e-01
4.939216e+00	8.730777e-05	1.637809e-02	9.835346e-01
5.000000e+00	7.990609e-05	1.554214e-02	9.843780e-01


# == Iter   -1 ==
Timepoint   	A           	B           	C           
0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00
1.000000e-04	9.997970e-01	2.030232e-04	1.007952e-08
1.010000e-02	9.797007e-01	2.019749e-02	1.017893e-04
8.378404e-02	8.435764e-01	1.499172e-01	6.506355e-03
1.885347e-01	6.820096e-01	2.882776e-01	2.971278e-02
3.030911e-01	5.405722e-01	3.906904e-01	6.873737e-02
4.273000e-01	4.202096e-01	4.583263e-01	1.214641e-01
5.625188e-01	3.194880e-01	4.947472e-01	1.857648e-01
7.099550e-01	2.370222e-01	5.038692e-01	2.591086e-01
8.660768e-01	1.728287e-01	4.908253e-01	3.363460e-01
1.027350e+00	1.247619e-01	4.625351e-01	4.127030e-01
